"","SOURCE_TRACTID","NEIGHBOR_TRACTID"
"917","39017011112","39035130106"
"918","39017011112","39035132200"
"919","39017011112","39035140302"
"920","39017011112","39035140500"
"921","39017011112","39035140600"
"922","39017011116","39035123800"
"923","39017011116","39035130106"
"924","39017011116","39035135104"
"925","39017011116","39035140500"
"926","39017011116","39035151300"
"927","39017011117","39035132301"
"928","39017011117","39035135104"
"929","39017011117","39035140600"
"930","39017011117","39035189112"
"931","39017011117","39035196300"
"932","39017011117","39035196400"
"933","39017011118","39035123601"
"934","39017011118","39035132301"
"935","39017011118","39035135104"
"936","39017011118","39035196200"
"937","39017011118","39113003000"
"938","39017011118","39151713401"
"939","39017011120","39035132301"
"940","39017011120","39035135103"
"941","39017011120","39035136102"
"942","39017011120","39035140600"
"943","39017011120","39035151300"
"944","39017011121","39035135103"
"945","39017011121","39035135104"
"946","39017011121","39035151300"
"947","39017011121","39035196200"
"948","39017011122","39035123800"
"949","39017011122","39035135106"
"950","39017011122","39035136103"
"951","39017011122","39035140302"
"952","39017011122","39035186203"
"953","39017011123","39035132200"
"954","39017011123","39035135105"
"955","39017011123","39035135106"
"956","39017011123","39035186203"
"957","39017011123","39095007301"
"958","39017011123","39095008100"
"959","39017011125","39035123601"
"960","39017011125","39035135104"
"961","39017011125","39035136101"
"962","39017011125","39035140500"
"963","39017011126","39035123601"
"964","39017011126","39035135106"
"965","39017011126","39035136102"
"966","39017011126","39035140302"
"967","39017011126","39035140500"
"968","39017011127","39035123800"
"969","39017011127","39035136101"
"970","39017011127","39035136102"
"971","39017011127","39035140600"
"972","39017011128","39035123601"
"973","39017011128","39035132200"
"974","39017011128","39035135105"
"975","39017011128","39035136101"
"976","39017011128","39035136103"
"977","39017011128","39035140302"
"978","39017011129","39035123800"
"979","39017011129","39035132200"
"980","39017011129","39035135106"
"981","39017011129","39035136101"
"982","39017011130","39003013800"
"983","39017011130","39035123603"
"984","39017011130","39035135105"
