"Geography","District"
"39121968400","6"
"39153530700","14"
"39035123200","9"
"39165032007","1"
"39117965400","12"
"39025040204","2"
"39035177504","16"
"39017000300","8"
"39005970800","7"
"39061020501","1"
"39097040600","15"
"39035150100","11"
"39057200500","10"
"39085206600","14"
"39051040400","5"
"39035153105","16"
"39035161000","9"
"39013012300","6"
"39139000400","12"
"39063000600","5"
"39049002600","3"
"39035104400","11"
"39021010400","4"
"39077916400","7"
"39025041103","2"
"39035118500","11"
"39023001200","8"
"39025040303","2"
"39049009312","3"
"39099800600","13"
"39049006924","3"
"39153531601","16"
"39011040200","4"
"39061024902","2"
"39007000102","14"
"39095007902","5"
"39035109801","11"
"39169003500","16"
"39157022002","6"
"39061025401","2"
"39123050500","9"
"39113080100","10"
"39025041304","2"
"39049007551","3"
"39007990000","14"
"39113090900","10"
"39099803000","13"
"39087050800","6"
"39003013600","4"
"39025040404","2"
"39099811100","13"
"39049009334","3"
"39133601801","16"
"39153520202","13"
"39035152202","11"
"39049000920","3"
"39157021900","6"
"39061025300","2"
"39073964900","15"
"39153531401","16"
"39049009321","3"
"39017010103","8"
"39113003402","10"
"39061023701","2"
"39113040101","10"
"39153520103","13"
"39081001400","6"
"39017010102","8"
"39035108400","11"
"39155932802","13"
"39155933002","13"
"39165032003","1"
"39049009384","3"
"39059977100","6"
"39061023400","2"
"39151711321","16"
"39035111401","11"
"39035173106","16"
"39061023902","1"
"39017011003","8"
"39095007500","9"
"39151700100","7"
"39049007205","12"
"39135410100","8"
"39099810600","13"
"39153510200","13"
"39087050500","6"
"39113050402","10"
"39049008730","3"
"39139001300","12"
"39035121200","11"
"39157020900","7"
"39061008501","1"
"39061005600","2"
"39081011402","6"
"39035119600","11"
"39035183200","11"
"39097041300","15"
"39023003101","8"
"39109365102","8"
"39081011100","6"
"39113040306","10"
"39035119401","11"
"39035117700","11"
"39035160500","9"
"39003013300","4"
"39041010421","12"
"39143961900","4"
"39035112500","11"
"39035195600","11"
"39035160601","9"
"39113002500","10"
"39113001800","10"
"39081000600","6"
"39017000600","8"
"39129021300","15"
"39085203200","14"
"39119912400","12"
"39165031500","1"
"39095001600","9"
"39003013100","4"
"39113110201","10"
"39049007531","3"
"39113030100","10"
"39079957500","6"
"39061021401","1"
"39035119701","11"
"39089753900","12"
"39017012600","8"
"39027964500","15"
"39009972900","15"
"39049009751","15"
"39035116600","11"
"39113004200","10"
"39059977900","6"
"39035161300","9"
"39061024901","2"
"39049004820","3"
"39113050401","10"
"39169001100","16"
"39155921000","13"
"39021011001","4"
"39077915600","4"
"39061007100","1"
"39035186107","16"
"39113100101","10"
"39049006395","15"
"39061007300","1"
"39035112600","11"
"39113021100","10"
"39049002750","3"
"39043040900","9"
"39101000400","4"
"39169000100","16"
"39073965200","15"
"39099804300","13"
"39113050302","10"
"39061005301","2"
"39087050600","6"
"39009972600","15"
"39017001001","8"
"39069000600","5"
"39113050504","10"
"39083006801","7"
"39129021402","15"
"39035140302","11"
"39113125101","10"
"39153532004","16"
"39035160800","9"
"39025040701","2"
"39113000500","10"
"39167020200","6"
"39099804000","13"
"39113070202","10"
"39035187106","11"
