"Geography","fips_county","fips_tract","Population","White","Black","Asian","NHPI","AIAN","Two or More Races","Other","district"
"39035106800","035","106800",2942,2200,391,26,2,16,117,190,2
"39035106900","035","106900",3501,3060,188,53,3,4,105,88,2
"39035107000","035","107000",1646,1474,78,48,0,2,26,18,2
"39035107101","035","107101",4193,1943,1992,123,3,8,31,93,7
"39035107701","035","107701",1944,991,797,76,1,5,62,12,7
"39035107802","035","107802",3334,1279,1390,534,2,8,83,38,7
"39035108201","035","108201",1354,713,412,141,0,4,26,58,7
"39035108301","035","108301",1647,495,400,642,11,4,31,64,7
"39035108400","035","108400",1237,434,197,485,0,7,30,84,7
"39035108701","035","108701",4393,248,4061,14,0,0,55,15,7
"39035109301","035","109301",1873,75,1729,3,0,7,43,16,7
"39035109701","035","109701",2212,325,1858,3,0,7,15,4,7
"39035109801","035","109801",1884,8,1848,1,0,9,13,5,7
"39035110501","035","110501",851,380,379,5,0,4,29,54,7
"39035110801","035","110801",1323,583,584,0,0,9,57,90,2
"39035110901","035","110901",3102,1665,1240,14,0,12,115,56,2
"39035111202","035","111202",1444,340,985,11,0,6,33,69,7
"39035111401","035","111401",1253,7,1233,0,0,0,13,0,7
"39035111500","035","111500",1179,340,759,4,0,1,50,25,7
"39035111600","035","111600",1130,198,855,0,0,8,33,36,7
"39035111700","035","111700",1404,148,1207,2,0,6,23,18,7
"39035111800","035","111800",878,22,836,0,0,0,11,9,7
"39035111902","035","111902",841,47,773,0,1,5,15,0,7
"39035112100","035","112100",1762,44,1681,1,1,5,16,14,7
"39035112200","035","112200",1341,12,1291,1,0,1,32,4,7
"39035112301","035","112301",1427,89,1282,1,1,6,23,25,7
"39035112400","035","112400",1189,3,1162,13,0,3,6,2,7
"39035112500","035","112500",1274,27,1233,1,0,1,9,3,7
